date, pm25, pm10, o3, no2, so2
2024/9/17, 24, 13, 13, 1, 1
2024/9/18, 30, 13, 11, 1, 1
2024/9/19, 32, 11, 11, 1, 
2024/9/20, 30, 12, 13, , 
2024/9/21, 23, 9, 23, 1, 
2024/9/22, 25, 5, 27, 2, 
2024/9/23, 27, 7, 30, 1, 1
2024/9/24, 31, 10, 47, 1, 1
2024/9/25, 39, 10, 51, 1, 1
2024/9/26, 43, 10, 41, 2, 1
2024/9/27, 38, 11, 34, 1, 1
2024/9/28, 40, 14, 35, 1, 1
2024/9/29, 40, 8, 29, 1, 1
2024/9/30, 33, 18, 57, 2, 1
2024/4/1, 38, 9, 45, 4, 1
2024/4/2, 32, 8, 42, 1, 1
2024/4/3, 28, 7, 43, 2, 1
2024/4/4, 26, 16, 44, 2, 1
2024/4/5, 50, 12, 42, 4, 1
2024/4/6, 48, 14, 46, 3, 1
2024/4/7, 46, 16, 36, 4, 1
2024/4/8, 56, 7, 48, 2, 1
2024/4/9, 19, 7, 45, 1, 1
2024/4/10, 25, 8, 43, 2, 1
2024/4/11, 26, 8, 48, 2, 1
2024/4/12, 30, 10, 52, 2, 1
2024/4/13, 39, 11, 53, 2, 1
2024/4/14, 44, 9, 45, 2, 1
2024/4/15, 38, 8, 44, 1, 1
2024/4/16, 36, 16, 53, 2, 1
2024/4/17, 48, 54, 26, 3, 1
2024/4/18, 111, 36, 41, 3, 1
2024/4/19, 80, 17, 43, 2, 
2024/4/20, 51, 12, 42, 3, 1
2024/4/21, 41, 6, 40, 4, 
2024/4/22, 25, 6, 41, 1, 1
2024/4/23, 24, 4, 34, 2, 
2024/4/24, 21, 11, 49, 2, 1
2024/4/25, 35, 13, 40, 4, 1
2024/4/26, 45, 11, 45, 2, 
2024/4/27, 40, 9, 47, 1, 1
2024/4/28, 37, 9, 41, 1, 
2024/4/29, 27, 9, 33, 2, 
2024/4/30, 33, 11, 39, 1, 1
2024/5/1, 39, 9, 44, 1, 1
2024/5/2, 30, 10, 42, 2, 1
2024/5/3, 35, 10, 48, 1, 1
2024/5/4, 40, 7, 39, 1, 1
2024/5/5, 24, 12, 42, , 
2024/5/6, 36, 16, 53, 2, 
2024/5/7, 49, 8, 36, 2, 1
2024/5/8, 32, 6, 38, 2, 1
2024/5/9, 22, 7, 47, 2, 1
2024/5/10, 26, 8, 41, 1, 
2024/5/11, 29, 15, 36, 1, 
2024/5/12, 31, 11, 36, 1, 1
2024/5/13, 37, 10, 43, 1, 1
2024/5/14, 34, 10, 36, 5, 1
2024/5/15, 38, 5, 42, 1, 1
2024/5/16, 23, 9, 55, 1, 1
2024/5/17, 38, 12, 55, 2, 1
2024/5/18, 44, 7, 42, 1, 
2024/5/19, 30, 12, 44, 1, 1
2024/5/20, 46, 16, 54, 3, 1
2024/5/21, 58, 13, 46, 4, 1
2024/5/22, 50, 9, 45, , 
2024/5/23, 37, 17, 54, 3, 2
2024/5/24, 54, 8, 41, 1, 1
2024/5/25, 31, 12, 39, 1, 1
2024/5/26, 42, 15, 36, 3, 
2024/5/27, 39, 9, 40, 1, 
2024/5/28, 19, 5, 37, 1, 1
2024/5/29, 18, 6, 43, 2, 1
2024/5/30, 25, 10, 38, 2, 1
2024/5/31, 40, 12, 49, 2, 1
2024/6/1, 47, 16, 53, 2, 1
2024/6/2, 58, 8, 40, 2, 1
2024/6/3, 32, 6, 42, 1, 
2024/6/4, 24, 7, 49, 3, 1
2024/6/5, 30, 8, 41, 2, 
2024/6/6, 35, 8, 41, 2, 1
2024/6/7, 31, 7, 37, 1, 
2024/6/8, 28, 8, 43, 1, 
2024/6/9, 24, 6, 44, 2, 
2024/6/10, 25, 8, 40, 1, 1
2024/6/11, 38, 7, 38, 1, 1
2024/6/12, 33, 9, 56, 2, 
2024/6/13, 43, 10, 44, 2, 1
2024/6/14, 44, 7, 32, 1, 1
2024/6/15, 25, 10, 32, 1, 1
2024/6/16, 35, 25, 41, 2, 1
2024/6/17, 64, 9, 45, 2, 1
2024/6/18, 36, 12, 66, 2, 1
2024/6/19, 48, 18, 55, 2, 1
2024/6/20, 55, 6, 54, 2, 
2024/6/21, 20, 10, 43, 1, 
2024/6/22, 28, 21, 20, 1, 
2024/6/23, 42, 17, 30, 3, 1
2024/6/24, 43, 24, 24, 6, 1
2024/6/25, 54, 32, 34, 5, 1
2024/6/26, 66, 23, 35, 3, 
2024/6/27, 60, 9, 20, 4, 1
2024/6/28, 26, 15, 38, 3, 1
2024/6/29, 41, 14, 14, 1, 
2024/6/30, 25, 16, 6, 5, 
2024/1/1, 14, 5, 29, 1, 
2024/1/2, 20, 7, 27, 2, 1
2024/1/3, 25, 5, 31, 1, 
2024/1/4, 15, 4, 30, 2, 1
2024/1/5, 18, 8, 31, 4, 1
2024/1/6, 28, 8, 29, 3, 1
2024/1/7, 23, 5, 28, 2, 1
2024/1/8, 20, 6, 30, 2, 1
2024/1/9, 21, 9, 28, 5, 1
2024/1/10, 34, 6, 30, 2, 1
2024/1/11, 13, 8, 36, 2, 1
2024/1/12, 32, 11, 31, 3, 1
2024/1/13, 39, 6, 28, 2, 1
2024/1/14, 17, 6, 30, 3, 1
2024/1/15, 21, 4, 31, 1, 1
2024/1/16, 13, 6, 25, 4, 1
2024/1/17, 22, 13, 9, 16, 1
2024/1/18, 47, 12, 32, 9, 1
2024/1/19, 40, 9, 25, 5, 
2024/1/20, 26, 5, 27, 5, 
2024/1/21, 14, 5, 30, 4, 
2024/1/22, 16, 3, 32, 1, 1
2024/1/23, 14, 3, 32, 1, 1
2024/1/24, 10, 5, 29, 1, 1
2024/1/25, 20, 5, 30, 2, 1
2024/1/26, 15, 7, 34, 3, 1
2024/1/27, 23, 9, 34, 3, 1
2024/1/28, 30, 6, 32, 3, 1
2024/1/29, 22, 11, 33, 3, 1
2024/1/30, 31, 18, 17, 13, 1
2024/1/31, 53, 15, 31, 8, 1
2024/2/1, 42, 6, 33, 1, 1
2024/2/2, 16, 7, 34, 3, 1
2024/2/3, 24, 4, 30, 2, 1
2024/2/4, 17, 4, 29, 4, 
2024/2/5, 14, 4, 31, 2, 1
2024/2/6, 16, 6, 31, 3, 1
2024/2/7, 14, 3, 33, 1, 1
2024/2/8, 15, 5, 35, 3, 1
2024/2/9, 18, 7, 37, 2, 
2024/2/10, 25, 24, 43, 2, 1
2024/2/11, 73, 14, 36, 1, 1
2024/2/12, 49, 12, 27, 6, 1
2024/2/13, 43, 14, 33, 3, 1
2024/2/14, 54, 12, 31, 3, 
2024/2/15, 37, 3, 31, 1, 1
2024/2/16, 14, 5, 29, 3, 1
2024/2/17, 25, 7, 32, 4, 
2024/2/18, 21, 5, 33, 1, 
2024/2/19, 18, 8, 24, 5, 1
2024/2/20, 33, 9, 22, 7, 1
