date, pm25, pm10, o3, no2, so2, co
2024/8/3, 72, 23, 39, 1, 1, 
2024/8/4, 70, 21, 35, 1, , 
2024/8/5, 66, 21, 43, 1, 1, 
2024/8/6, 63, 21, 46, 1, 1, 
2024/8/7, 71, 11, 38, 1, 1, 
2024/8/8, 51, 12, 47, 2, 1, 
2024/8/9, 54, 10, 32, 1, , 
2024/8/10, 44, 9, 36, 1, , 
2024/8/11, 44, 6, 28, 1, , 
2024/8/12, 42, 7, 33, 1, , 
2024/8/13, 45, 12, 38, 1, , 
2024/8/14, 52, 14, 38, 1, 1, 
2024/8/15, 61, 11, 32, 1, 1, 
2024/8/16, 52, 8, 29, 1, 1, 
2024/8/17, 39, 9, 35, 1, 1, 
2024/8/18, 49, 15, 13, 1, , 
2024/8/19, 53, 8, 20, 1, , 
2024/8/20, 28, 15, 43, 1, 1, 
2024/8/21, 45, 13, 34, 1, 1, 
2024/8/22, 53, 8, 22, 1, , 
2024/8/23, 34, 8, 22, 1, 1, 
2024/8/24, 36, 7, 27, 1, 1, 
2024/8/25, 35, 7, 12, 1, , 
2024/8/26, 24, 8, 12, 1, , 
2024/8/27, 22, 6, 12, 1, 1, 
2024/8/28, 22, 6, 16, 1, , 
2024/8/29, 15, 10, 21, 1, 1, 
2024/8/30, 28, 6, 22, , 1, 
2024/8/31, 23, 7, 25, , 1, 
2024/9/1, 29, 9, 31, 1, 1, 
2024/9/2, 49, 14, 30, 1, 1, 
2024/9/3, 60, 10, 38, 1, , 
2024/9/4, 46, 9, 40, 1, , 
2024/9/5, 49, 16, 44, 1, 1, 
2024/9/6, 67, 20, 42, 1, 1, 
2024/9/7, 75, 18, 42, 1, 1, 
2024/9/8, 74, 19, 45, 1, 1, 
2024/9/9, 72, 9, 9, 1, 1, 
2024/9/10, 36, 8, 16, 1, 1, 
2024/9/11, 27, 7, 26, 1, 1, 
2024/9/12, 32, 8, 24, 1, 1, 
2024/9/13, 35, 6, 12, 1, 1, 
2024/9/14, 27, 6, 7, , 1, 
2024/9/15, 19, 9, 19, 1, 1, 
2024/9/16, 31, 9, 23, 1, 1, 
2024/9/17, 31, 8, 25, 1, 1, 
2024/9/18, 40, 9, 21, 1, 1, 
2024/9/19, 39, 5, 16, 1, , 
2024/9/20, 27, 5, 12, 1, , 
2024/9/21, 27, 7, 19, 1, , 
2024/9/22, 20, 3, 26, 1, , 
2024/9/23, 24, 5, 22, 1, 1, 
2024/9/24, 26, 5, 32, 1, 1, 
2024/9/25, 35, 7, 40, 1, , 
2024/9/26, 44, 7, 28, 1, 1, 
2024/9/27, 40, 6, 30, 1, 1, 
2024/9/28, 39, 8, 33, 1, , 
2024/9/29, 39, 9, 28, 1, , 
2024/9/30, 43, 6, 37, 1, , 
2024/4/1, 40, 12, 24, 5, 1, 
2024/4/2, 42, 9, 28, 3, 1, 
2024/4/3, 36, 7, 39, 2, 1, 
2024/4/4, 25, 14, 48, 2, 1, 
2024/4/5, 50, 15, 42, 4, 1, 
2024/4/6, 58, 16, 50, 3, 1, 
2024/4/7, 63, 14, 34, 4, 1, 
2024/4/8, 53, 5, 45, 1, 1, 
2024/4/9, 25, 9, 40, 2, 1, 
2024/4/10, 24, 7, 38, 1, 1, 
2024/4/11, 33, 7, 43, 1, 1, 
2024/4/12, 36, 10, 50, 2, , 
2024/4/13, 47, 12, 54, 1, 1, 
2024/4/14, 51, 10, 45, 1, , 
2024/4/15, 42, 6, 39, 1, , 
2024/4/16, 26, 19, 51, 1, 1, 
2024/4/17, 50, 53, 38, 2, 1, 
2024/4/18, 106, 36, 45, 1, 1, 
2024/4/19, 78, 18, 44, 2, , 
2024/4/20, 53, 15, 33, 1, , 
2024/4/21, 46, 8, 28, 2, , 
2024/4/22, 31, 5, 36, 1, , 
2024/4/23, 19, 7, 29, 2, , 
2024/4/24, 22, 10, 52, 1, , 
2024/4/25, 40, 12, 43, 4, 1, 
2024/4/26, 46, 11, 36, 2, , 
2024/4/27, 48, 9, 47, 1, , 
2024/4/28, 37, 12, 32, 1, , 
2024/4/29, 36, 7, 30, 2, , 
2024/4/30, 28, 9, 34, 2, , 
2024/5/1, 38, 7, 41, 1, 1, 
2024/5/2, 37, 8, 41, 1, 1, 
2024/5/3, 39, 9, 43, 1, , 
2024/5/4, 43, 7, 39, 1, 1, 
2024/5/5, 33, 6, 32, 1, , 
2024/5/6, 25, 11, 57, 1, , 
2024/5/7, 50, 9, 37, 1, 1, 
2024/5/8, 35, 5, 43, 1, 1, 
2024/5/9, 24, 7, 49, 2, 1, 
2024/5/10, 38, 8, 46, 1, , 
2024/5/11, 39, 10, 29, 1, , 
2024/5/12, 35, 8, 36, 1, 1, 
2024/5/13, 38, 9, 50, 2, , 
2024/5/14, 39, 8, 38, 2, 1, 
2024/5/15, 37, 5, 44, 1, 1, 
2024/5/16, 25, 10, 77, 2, 1, 
2024/5/17, 42, 9, 69, 2, 1, 
2024/5/18, 49, 8, 39, 1, , 
2024/5/19, 39, 6, 45, 1, 1, 
2024/5/20, 39, 11, 64, 1, 1, 
2024/5/21, 59, 12, 43, 3, 1, 
2024/5/22, 57, 8, 45, 2, , 
2024/5/23, 53, 15, 58, 2, , 
2024/5/24, 67, 6, 44, 1, , 
2024/5/25, 38, 9, 44, 1, 1, 
2024/5/26, 49, 9, 35, 1, , 
2024/5/27, 50, 4, 40, 3, , 
2024/5/28, 24, 4, 41, 1, 1, 
2024/5/29, 28, 6, 43, 1, 1, 
2024/5/30, 42, 7, 39, 3, 1, 
2024/5/31, 45, 8, 56, 1, 1, 
2024/6/1, 50, 10, 57, 1, 1, 
2024/6/2, 57, 6, 45, 1, 1, 
2024/6/3, 44, 5, 44, 1, 1, 
2024/6/4, 32, 4, 44, 1, 1, 
2024/6/5, 24, 7, 42, 1, 1, 
2024/6/6, 47, 6, 42, 1, 1, 
2024/6/7, 42, 5, 37, 1, , 
2024/6/8, 37, 4, 40, 1, 1, 
2024/6/9, 26, 4, 44, 1, 1, 
2024/6/10, 31, 8, 44, 1, , 
2024/6/11, 48, 8, 41, 1, 1, 
2024/6/12, 50, 7, 51, 1, 1, 
2024/6/13, 47, 13, 63, 1, 1, 
2024/6/14, 64, 9, 31, 1, , 
2024/6/15, 40, 12, 44, 1, 1, 
2024/6/16, 55, 19, 49, 2, 1, 
2024/6/17, 73, 6, 42, 1, 1, 
2024/6/18, 31, 8, 56, 2, 1, 
2024/6/19, 47, 13, 48, 2, 1, 
