date, pm25, pm10, o3, no2, so2, co
2025/1/28, 51, 7, 31, 7, 1, 
2025/1/29, 23, 6, 31, 7, 1, 
2025/1/30, 19, 6, 32, 5, 1, 
2025/1/31, 20, 13, 33, 9, 1, 
2025/2/1, 47, 11, 27, 4, 1, 
2025/2/2, 44, 12, 26, 13, 1, 
2025/2/3, 41, 8, 32, 8, 1, 
2025/2/4, 27, 4, 31, 3, 1, 
2025/2/5, 15, 5, 31, 9, 1, 
2025/2/6, 17, 8, 31, 7, 1, 
2025/2/7, 28, 6, 31, 3, 1, 
2025/2/8, 22, 4, 32, 1, 1, 
2025/2/9, 14, 6, 32, 6, 1, 
2025/2/10, 21, 9, 34, 6, 1, 
2025/2/11, 25, 13, 25, 14, 1, 
2025/2/12, 47, 15, 33, 1, 1, 
2025/2/13, 43, 7, 34, 7, 1, 
2025/2/14, 23, 12, 34, 8, 1, 
2025/2/15, 39, 15, 39, 6, 1, 
2025/2/16, 50, 11, 39, 5, 1, 
2025/2/17, 38, 6, 32, 2, 1, 
2025/2/18, 22, 4, 32, 3, 1, 
2025/2/19, 13, 4, 33, 3, 1, 
2025/2/20, 14, 6, 34, 6, 1, 
2025/2/21, 21, 6, 34, 4, 1, 
2025/2/22, 22, 5, 35, 2, 1, 
2025/2/23, 17, 7, 36, 3, 1, 
2025/2/24, 25, 8, 35, 8, 1, 
2025/2/25, 28, 12, 39, 10, 1, 
2025/2/26, 43, 14, 43, 6, 1, 
2025/2/27, 49, 21, 46, 15, 1, 
2025/2/28, 65, 20, 50, 12, 1, 
2025/3/1, 62, 22, 52, 7, 1, 
2025/3/2, 66, 11, 35, 9, 1, 
2025/3/3, 37, 9, 30, 10, , 
2025/3/4, 33, 6, 22, 10, , 
2025/3/5, 22, 4, 33, 4, 1, 
2025/3/6, 13, 5, 36, 2, 1, 
2025/3/7, 16, 11, 33, 7, 1, 
2025/3/8, 45, 10, 36, 3, 1, 
2025/3/9, 39, 10, 40, 8, 1, 
2025/3/10, 38, 15, 31, 11, 1, 
2025/3/11, 51, 17, 28, 13, 1, 
2025/3/12, 56, 16, 44, 9, 1, 
2025/3/13, 52, 14, 37, 3, 1, 
2025/3/14, 38, 11, 32, 4, 1, 
2025/3/15, 39, 7, 31, 2, , 
2025/3/16, 27, 3, 34, 4, 1, 
2025/3/17, 10, 7, 35, 3, 1, 
2025/3/18, 24, 5, 36, 3, 1, 
2025/3/19, 19, 6, 40, 3, 1, 
2025/3/20, 21, 14, 40, 13, 1, 
2025/3/21, 51, 22, 57, 15, 1, 
2025/3/22, 67, 21, 53, 7, 1, 2
2025/3/23, 61, 17, 41, 10, 1, 2
2025/3/24, 53, 32, 51, 17, 1, 3
2025/3/25, 78, 33, 47, 12, 1, 2
2025/3/26, 78, 28, 54, 9, 1, 2
2025/3/27, 68, 18, 51, 6, 1, 3
2025/3/28, 51, 6, 32, 1, , 2
2025/3/29, 21, 8, 38, 1, 1, 
2025/3/30, 28, 6, 33, 2, , 
2025/3/31, 22, 7, 31, 2, , 
2024/10/1, 36, 18, 45, 9, 1, 
2024/10/2, 42, 13, 24, 4, 1, 
2024/10/3, 27, 12, 11, 8, , 
2024/10/4, 22, 8, 17, 4, , 
2024/10/5, 14, 9, 17, 2, , 
2024/10/6, 19, 14, 25, 7, 1, 
2024/10/7, 28, 7, 30, 2, , 
2024/10/8, 14, 6, 29, 2, , 
2024/10/9, 19, 9, 24, 4, , 
2024/10/10, 23, 13, 36, 4, 1, 
2024/10/11, 36, 16, 39, 4, 1, 
2024/10/12, 47, 13, 34, 2, 1, 
2024/10/13, 41, 14, 35, 3, 1, 
2024/10/14, 41, 16, 41, 8, 1, 
2024/10/15, 43, 27, 23, 14, 1, 
2024/10/16, 64, 22, 31, 7, , 
2024/10/17, 49, 16, 17, 7, , 
2024/10/18, 41, 17, 27, 8, 1, 
2024/10/19, 39, 7, 28, 2, , 
2024/10/20, 21, 11, 27, 6, 1, 
2024/10/21, 34, 13, 34, 6, 1, 
2024/10/22, 40, 24, 11, 14, 1, 
2024/10/23, 58, 13, 28, 6, 1, 
2024/10/24, 33, 11, 24, 5, 1, 
2024/10/25, 30, 16, 19, 8, 1, 
2024/10/26, 48, 18, 30, 5, 1, 
2024/10/27, 53, 13, 22, 7, , 
2024/10/28, 39, 10, 21, 5, , 
2024/10/29, 30, 6, 31, 3, 1, 
2024/10/30, 15, 12, 30, 12, 1, 
2024/10/31, 39, 17, 30, 13, 1, 
2024/11/1, 56, 9, 25, 5, , 
2024/11/2, 30, 11, 34, 3, 1, 
2024/11/3, 35, 15, 33, 6, 1, 
2024/11/4, 50, 13, 31, 6, 1, 
2024/11/5, 43, 12, 21, 8, 1, 
2024/11/6, 40, 7, 30, 5, 1, 
2024/11/7, 21, 10, 33, 7, 1, 
