date, pm25, pm10, o3, no2, so2
2025/6/6, 54, 12, 49, 1, 1
2025/6/7, 56, 13, 37, 1, 1
2025/6/8, 62, 6, 32, 1, 
2025/6/9, 39, 14, 23, 1, 
2025/6/10, 25, 5, 37, 2, 1
2025/6/11, 32, 17, 35, 2, 1
2025/6/12, 59, 10, 36, 1, 
2025/6/13, 48, 18, 35, 1, 
2025/6/14, 33, 13, 31, 1, 1
2025/6/15, 35, 22, 19, 1, 1
2025/6/16, 49, 12, 27, 1, 1
2025/6/17, 47, 19, 30, 1, 
2025/6/18, 55, 12, 41, 1, 1
2025/6/19, 64, 22, 45, 1, 1
2025/6/20, 67, 15, 34, 1, 1
2025/6/21, 55, 16, 21, 1, 1
2025/6/22, 49, 5, 15, 1, 
2025/6/23, 43, 9, 16, 1, 
2025/6/24, 27, 17, 16, 1, 
2025/6/25, 29, 22, 17, 1, 1
2025/6/26, 49, 20, 52, 2, 1
2025/6/27, 66, 26, 66, 2, 1
2025/6/28, 75, 24, 47, 1, 1
2025/6/29, 66, 24, 33, 1, 
2025/6/30, 61, 32, 35, 1, 
2025/1/1, 17, , , , 
2025/1/6, 28, 9, 30, 1, 1
2025/1/7, 38, 3, 28, 1, 
2025/1/8, 18, 4, 29, 1, 1
2025/1/9, 25, 3, 31, 1, 
2025/1/10, 16, 2, 32, 1, 1
2025/1/11, 17, 3, 30, 2, 1
2025/1/12, 24, 4, 35, 1, 
2025/1/13, 24, 6, 36, 1, 1
2025/1/14, 36, 6, 33, 1, 1
2025/1/15, 38, 3, 31, 1, 1
2025/1/16, 25, 3, 28, 2, 1
2025/1/17, 20, 5, 31, 1, 1
2025/1/18, 20, 4, 29, 2, 1
2025/1/19, 24, 8, 26, 4, 1
2025/1/20, 40, 9, 37, 2, 1
2025/1/21, 33, 14, 41, 3, 1
2025/1/22, 53, 12, 40, 3, 1
2025/1/23, 57, 21, 42, 4, 1
2025/1/24, 69, 6, 36, 1, 1
2025/1/25, 26, 3, 35, 1, 
2025/1/26, 23, 2, 32, 1, 1
2025/1/27, 16, 4, 31, 1, 
2025/1/28, 24, 4, 32, 1, 1
2025/1/29, 23, 9, 39, 1, 1
2025/1/30, 34, 21, 41, 2, 1
2025/1/31, 73, 22, 34, 3, 1
2025/2/1, 75, 6, 32, 2, 
2025/2/2, 26, 7, 35, 2, 1
2025/2/3, 31, 4, 36, 1, 1
2025/2/4, 28, 4, 35, 1, 
2025/2/5, 21, 4, 35, 1, 
2025/2/6, 29, 5, 35, 1, 1
2025/2/7, 26, 3, 35, 1, 1
2025/2/8, 25, 2, 33, 1, 
2025/2/9, 15, 3, 36, 1, 1
2025/2/10, 25, 4, 37, 1, 1
2025/2/11, 29, 6, 32, 3, 1
2025/2/12, 28, 4, 33, 1, 1
2025/2/13, 30, 8, 36, 1, 1
2025/2/14, 33, 6, 37, 2, 1
2025/2/15, 36, 16, 27, 4, 1
2025/2/16, 53, 8, 38, 1, 1
2025/2/17, 44, 4, 36, 2, 1
2025/2/18, 29, 5, 35, 1, 
2025/2/19, 26, 6, 35, 2, 1
2025/2/20, 28, 5, 36, 1, 1
2025/2/21, 29, 7, 38, 1, 1
2025/2/22, 35, 4, 36, 1, 1
2025/2/23, 22, 5, 39, 1, 1
2025/2/24, 27, 6, 40, 1, 1
