date, pm25, pm10, o3, no2, so2, co
2025/6/18, 58, 25, 61, 1, 1, 3
2025/6/19, 62, 15, 35, 1, 1, 2
2025/6/20, 42, 7, 26, 1, 1, 2
2025/6/21, 18, 13, 21, , 1, 2
2025/6/22, 27, 13, 18, 1, 1, 2
2025/6/23, 24, 10, 9, 4, 1, 2
2025/6/24, 19, 12, 15, 1, 1, 2
2025/6/25, 17, 11, 21, 1, 1, 2
2025/6/26, 20, 16, 57, 1, 1, 3
2025/6/27, 42, 16, 48, 1, 1, 3
2025/6/28, 52, 15, 44, 1, 1, 2
2025/6/29, 47, 19, 41, 1, 1, 3
2025/6/30, 48, 21, 51, 1, 1, 2
2025/1/1, 26, 9, 34, 2, 1, 3
2025/1/2, 24, 5, 33, 2, 1, 3
2025/1/3, 14, 4, 30, 2, 1, 3
2025/1/4, 14, 6, 32, 3, 1, 3
2025/1/5, 20, 7, 26, 4, 1, 4
2025/1/6, 24, 11, 31, 2, 1, 4
2025/1/7, 37, 7, 27, 2, 1, 3
2025/1/8, 24, 8, 29, 4, 1, 3
2025/1/9, 25, 5, 26, 1, 1, 3
2025/1/10, 18, 4, 30, 1, 1, 3
2025/1/11, 12, 5, 28, 1, 1, 3
2025/1/12, 22, 6, 31, 1, 1, 3
2025/1/13, 24, 13, 29, 3, 1, 4
2025/1/14, 45, 14, 31, 3, 1, 4
2025/1/15, 45, 6, 24, 3, 1, 3
2025/1/16, 15, 7, 30, 1, 1, 4
2025/1/17, 22, 7, 27, 1, 1, 4
2025/1/18, 22, 8, 20, 1, 1, 3
2025/1/19, 26, 8, 28, 2, 1, 3
2025/1/20, 31, 9, 37, 2, 1, 3
2025/1/21, 27, 8, 37, 2, 1, 3
2025/1/22, 27, 18, 33, 3, 2, 4
2025/1/23, 58, 19, 40, 3, 1, 4
2025/1/24, 58, 7, 35, 1, 1, 3
2025/1/25, 22, 3, 34, , 1, 4
2025/1/26, 12, 4, 23, 3, 1, 3
2025/1/27, 15, 11, 33, 2, 1, 3
2025/1/28, 30, 8, 31, 1, 1, 3
2025/1/29, 23, 8, 34, 1, 1, 3
2025/1/30, 21, 14, 33, 1, 1, 4
2025/1/31, 40, 22, 32, 1, 1, 4
2025/2/1, 66, 9, 22, 1, 1, 3
2025/2/2, 33, 9, 35, 2, 1, 3
2025/2/3, 35, 8, 35, 1, 1, 3
2025/2/4, 24, 6, 34, 1, 1, 
2025/2/5, 18, 8, 33, 1, 1, 3
2025/2/6, 26, 9, 34, 1, 1, 3
2025/2/7, 25, 5, 33, 1, 1, 3
2025/2/8, 13, 5, 32, 1, 1, 3
2025/2/9, 15, 6, 33, 2, 1, 3
2025/2/10, 17, 4, 34, 1, 1, 3
2025/2/11, 12, 7, 25, 3, 1, 3
2025/2/12, 23, 7, 33, 1, 1, 3
2025/2/13, 23, 7, 35, 1, 1, 3
2025/2/14, 16, 12, 35, 1, 1, 3
2025/2/15, 31, 9, 35, 1, 1, 3
2025/2/16, 28, 10, 38, 1, 1, 3
2025/2/17, 31, 4, 33, 1, 1, 3
2025/2/18, 11, 3, 33, 1, 1, 3
2025/2/19, 8, 3, 32, 1, 1, 3
2025/2/20, 11, 6, 32, 2, 1, 3
2025/2/21, 20, 5, 34, 1, 1, 3
2025/2/22, 18, 6, 35, , 1, 3
2025/2/23, 18, 5, 36, 1, 1, 
2025/2/24, 14, 8, 38, 1, 1, 3
2025/2/25, 24, 12, 41, 2, 1, 3
2025/2/26, 44, 17, 45, 1, 1, 3
2025/2/27, 53, 23, 20, 4, 2, 4
2025/2/28, 66, 17, 45, 2, 1, 4
2025/3/1, 54, 18, 32, 2, 1, 4
2025/3/2, 57, 11, 31, 1, 1, 3
2025/3/3, 36, 5, 34, 4, 1, 3
2025/3/4, 18, 3, 28, 3, 1, 3
2025/3/5, 12, 3, 37, 1, 1, 2
2025/3/6, 9, 5, 38, 1, 1, 
2025/3/7, 13, 10, 31, 1, 1, 3
2025/3/8, 29, 8, 39, , 1, 3
2025/3/9, 24, 8, 41, 2, 1, 3
2025/3/10, 28, 8, 32, 3, 1, 3
2025/3/11, 27, 6, 23, 3, 1, 3
2025/3/12, 16, 17, 46, 1, 1, 3
2025/3/13, 44, 14, 36, 2, 1, 3
2025/3/14, 36, 10, 28, 1, 1, 2
2025/3/15, 28, 3, 35, 1, 1, 2
2025/3/16, 10, 4, 32, 1, 1, 3
2025/3/17, 15, 6, 38, 1, 1, 3
2025/3/18, 18, 6, 38, 1, 1, 3
2025/3/19, 19, 11, 43, 1, 1, 4
2025/3/20, 34, 19, 58, 2, 1, 3
2025/3/21, 60, 24, 69, 1, 2, 4
2025/3/22, 67, 26, 70, 1, 2, 4
2025/3/23, 70, 27, 54, 1, 1, 4
2025/3/24, 65, 25, 58, 1, 1, 3
2025/3/25, 63, 53, 65, 1, 1, 4
2025/3/26, 125, 39, 39, 1, 1, 3
2025/3/27, 86, 13, 44, 1, 1, 3
2025/3/28, 33, 8, 37, 1, 1, 
2025/3/29, 27, 7, 39, 1, 1, 
2025/3/30, 17, 6, 31, 1, 1, 3
2025/3/31, 21, 6, 16, 2, 1, 3
2024/10/1, 48, 17, 56, , 1, 2
2024/10/2, 56, 14, 26, , 1, 1
2024/10/3, 39, 5, 20, , , 1
2024/10/4, 14, 5, 37, , 1, 1
2024/10/5, 18, 5, 30, , 1, 1
2024/10/6, 16, 6, 21, , 1, 1
2024/10/7, 15, 3, 26, , 1, 
2024/10/8, 11, 4, 26, , 1, 1
2024/10/9, 13, 6, 34, , 1, 1
2024/10/10, 24, 9, 40, , 1, 1
2024/10/11, 34, 10, 42, , 1, 1
2024/10/12, 39, 10, 43, , 1, 1
2024/10/13, 40, 9, 36, , 1, 1
2024/10/14, 33, 7, 35, , 1, 1
2024/10/15, 24, 10, 29, , 1, 1
2024/10/16, 34, 11, 37, , 1, 1
2024/10/17, 42, 8, 24, , 1, 1
2024/10/18, 28, 5, 28, , 1, 1
2024/10/19, 16, 3, 25, , 1, 1
2024/10/20, 19, 4, 29, , 1, 1
2024/10/21, 16, 7, 30, , 1, 1
2024/10/22, 17, 16, 28, , 1, 1
2024/10/23, 15, 13, 33, , 1, 2
2024/10/24, 33, 16, 30, , 1, 2
2024/10/25, 30, 17, 13, , 1, 2
2024/10/26, 1, 9, 20, , 1, 1
2024/10/27, 1, 5, 31, , 1, 1
2024/10/28, 10, 7, 11, , 1, 2
2024/10/29, 19, 4, 33, , 1, 1
2024/10/30, 29, 9, 28, , 1, 2
2024/10/31, 28, 11, 28, , 1, 1
2024/11/1, 30, 6, 24, , 1, 1
2024/11/2, 21, 8, 29, , 1, 2
2024/11/3, 26, 12, 36, , 1, 1
2024/11/4, 32, 15, 14, , 1, 2
2024/11/5, 42, 9, 33, , 1, 2
2024/11/6, 31, 4, 31, , 1, 1
2024/11/7, 54, 9, 21, , 1, 2
2024/11/8, 38, 9, 34, , 1, 1
2024/11/9, 31, 7, 28, , 1, 1
2024/11/10, 23, 11, 33, , 1, 1
2024/11/11, 38, 11, 9, , 1, 1
2024/11/12, 35, 13, 26, , 1, 2
2024/11/13, 41, 17, 20, , 1, 2
2024/11/14, 55, 14, 15, , 1, 2
2024/11/15, 45, 15, 23, , 1, 1
2024/11/16, 43, 12, 32, , 1, 1
2024/11/17, 38, 3, 31, , 1, 1
2024/11/18, 51, 6, 29, , 1, 2
2024/11/19, 41, 9, 9, , 1, 2
2024/11/20, 35, 8, 32, , 1, 1
2024/11/21, 31, 12, 39, , 1, 1
2024/11/22, 41, , , , , 
2024/11/25, 27, 8, 34, 3, 1, 1
2024/11/26, 21, 10, 32, 2, 1, 1
2024/11/27, 27, 7, 33, 3, 1, 1
2024/11/28, 17, 7, 26, 2, 1, 1
2024/11/29, 19, 6, 28, 1, 1, 1
2024/11/30, 18, 6, 30, 1, 1, 1
2024/12/1, 18, 9, 26, 2, 1, 2
2024/12/2, 31, 14, 31, 4, 2, 1
2024/12/3, 45, 11, 33, 2, 1, 1
2024/12/4, 32, 9, 31, 2, 1, 1
2024/12/5, 23, 8, 28, 3, 1, 1
2024/12/6, 24, 7, 30, 1, 1, 1
2024/12/7, 19, 6, 31, 2, 1, 1
2024/12/8, 17, 3, 28, 3, 1, 2
2024/12/9, 9, 4, 28, 3, 1, 2
2024/12/10, 13, 6, 26, 2, 1, 3
2024/12/11, 19, 4, 29, 3, 1, 
2024/12/12, 12, 8, 21, 5, 1, 4
2024/12/13, 27, 5, 32, 3, 1, 3
2024/12/14, 19, 7, 32, 2, 1, 3
2024/12/15, 19, 7, 27, 4, 1, 3
2024/12/16, 22, 9, 27, 3, 1, 3
2024/12/17, 25, 8, 29, 3, 1, 3
2024/12/18, 22, 6, 30, 2, 1, 3
2024/12/19, 20, 6, 25, 3, 1, 3
2024/12/20, 18, 13, 29, 4, , 4
2024/12/21, 43, 4, 30, 1, 1, 4
2024/12/22, 17, 5, 26, 3, 1, 3
2024/12/23, 16, 3, 29, 2, 1, 3
2024/12/24, 15, 8, 28, 4, 1, 4
2024/12/25, 24, 10, 30, 3, 2, 3
2024/12/26, 32, 12, 33, 2, 1, 3
2024/12/27, 34, 6, 31, 2, 1, 3
2024/12/28, 18, 6, 30, 2, 1, 3
2024/12/29, 22, , , , , 
2024/7/1, 18, 9, 38, 8, 1, 2
2024/7/2, 27, 23, 47, 9, 1, 2
2024/7/3, 54, 20, 42, 6, , 2
2024/7/4, 52, 10, 32, 4, 1, 1
2024/7/5, 26, 23, 62, 5, 1, 1
2024/7/6, 58, 21, 52, 2, 1, 1
2024/7/7, 56, 14, 46, 5, 1, 1
2024/7/8, 43, 17, 38, 5, 1, 1
2024/7/9, 49, 14, 27, 4, 1, 1
2024/7/10, 30, 12, 25, 6, 1, 1
2024/7/11, 27, 10, 28, 7, 1, 2
2024/7/12, 27, 9, 39, 3, 1, 1
2024/7/13, 27, 11, 34, 1, 1, 1
2024/7/14, 28, 13, 27, 4, 1, 1
2024/7/15, 26, 8, 20, 3, 1, 1
2024/7/16, 19, 11, 39, 4, 1, 1
2024/7/17, 29, 11, 29, 3, 1, 1
2024/7/18, 29, 13, 16, 2, 1, 1
2024/7/19, 29, 35, 37, 3, 1, 1
2024/7/20, 69, 20, 46, 2, 1, 1
2024/7/21, 54, 23, 54, 4, 1, 2
2024/7/22, 59, 18, 36, 6, 1, 1
2024/7/23, 46, 14, 42, 5, 1, 2
2024/7/24, 38, 15, 33, 5, 1, 1
2024/7/25, 41, 12, 38, 4, 1, 1
2024/7/26, 31, 13, 46, 5, 1, 1
2024/7/27, 33, 11, 23, 2, 1, 1
2024/7/28, 33, 7, 23, 1, 1, 1
2024/7/29, 19, 10, 38, 2, 1, 1
2024/7/30, 27, 11, 46, 2, 1, 1
2024/7/31, 34, 18, 56, 4, 1, 1
2024/8/1, 49, 16, 53, 3, 1, 1
2024/8/2, 43, 15, 42, 2, 1, 1
2024/8/3, 40, 20, 45, 1, 1, 1
2024/8/4, 49, 17, 41, 3, 1, 1
2024/8/5, 41, 14, 35, 3, 1, 1
2024/8/6, 38, 22, 73, 3, 1, 1
2024/8/7, 49, 23, 55, 5, 1, 1
2024/8/8, 54, 20, 84, 4, 1, 1
2024/8/9, 55, 14, 52, 3, 1, 1
2024/8/10, 42, 14, 45, 2, 1, 1
2024/8/11, 43, 15, 43, 2, 1, 1
2024/8/12, 46, 15, 37, 2, 1, 1
2024/8/13, 37, 15, 32, 1, 1, 1
2024/8/14, 38, 14, 25, 1, 1, 1
2024/8/15, 38, 12, 32, 2, 1, 1
2024/8/16, 37, 8, 32, 1, 1, 
2024/8/17, 18, 14, 35, 2, 1, 1
2024/8/18, 36, 17, 40, 4, 1, 1
2024/8/19, 44, 10, 34, 5, 1, 1
2024/8/20, 25, 13, 40, 5, 1, 1
2024/8/21, 38, 11, 31, 3, 1, 1
2024/8/22, 27, 9, 19, 2, 1, 1
2024/8/23, 22, 8, 22, 1, 1, 
2024/8/24, 20, 5, 20, 1, 1, 1
2024/8/25, 14, 4, 12, 2, 1, 1
2024/8/26, 9, , 14, 3, 1, 1
2024/8/27, 7, 4, 9, 7, 1, 1
2024/8/28, 10, 2, 9, 3, , 1
2024/8/29, 9, 6, 15, 2, , 1
2024/8/30, 15, 8, 22, 1, , 1
2024/8/31, 18, 5, 27, 1, , 1
2024/9/1, 12, 9, 26, 3, , 1
2024/9/2, 23, 12, 40, 4, 1, 1
2024/9/3, 35, 13, 45, 4, , 1
2024/9/4, 38, 17, 67, 4, 1, 1
2024/9/5, 46, 18, 73, 4, 1, 2
2024/9/6, 47, 20, 61, 3, 1, 1
2024/9/7, 53, 20, 58, 1, 1, 1
2024/9/8, 52, 8, 22, 3, , 1
2024/9/9, 26, 4, 13, 2, , 1
2024/9/10, 12, 6, 18, 2, 1, 1
2024/9/11, 15, 8, 29, 2, 1, 1
2024/9/12, 20, 5, 16, 2, 1, 1
2024/9/13, 12, 5, 13, 1, , 1
2024/9/14, 12, 7, 12, 1, , 1
2024/9/15, 14, 8, 18, 1, , 1
2024/9/16, 19, 9, 26, 2, 1, 1
2024/9/17, 21, 9, 35, 4, 1, 1
2024/9/18, 22, 14, 44, 6, 1, 1
2024/9/19, 38, 12, 32, 4, 1, 1
2024/9/20, 33, 9, 17, 2, 1, 1
2024/9/21, 20, 8, 24, 2, 1, 1
2024/9/22, 18, 5, 34, 2, 1, 1
2024/9/23, 17, 6, 33, 5, 1, 1
2024/9/24, 19, 11, 52, 5, 1, 2
2024/9/25, 37, 9, 8, 6, 1, 1
2024/9/26, 29, 10, 20, 9, 1, 1
2024/9/27, 30, 12, 20, , 1, 1
2024/9/28, 35, 10, 30, , 1, 1
2024/9/29, 34, 10, 37, , 1, 1
2024/9/30, 34, 14, 54, , 1, 1
2024/4/1, 42, 15, 46, 7, 1, 2
2024/4/2, 44, 11, 42, 7, 1, 1
2024/4/3, 36, 7, 44, 5, 1, 2
2024/4/4, 22, 14, 28, 12, 1, 3
2024/4/5, 41, 16, 47, 6, 1, 2
2024/4/6, 49, 14, 45, 2, 1, 2
2024/4/7, 45, 10, 34, 6, 1, 2
2024/4/8, 30, 4, 46, 1, 1, 1
2024/4/9, 8, 8, 44, 4, 1, 1
2024/4/10, 27, 9, 43, 4, 1, 1
2024/4/11, 30, 10, 46, 4, 1, 1
2024/4/12, 30, 15, 57, 4, 1, 2
2024/4/13, 45, 15, 58, 2, 1, 
2024/4/14, 45, 13, 45, 3, 1, 1
2024/4/15, 39, 12, 44, 3, 1, 1
2024/4/16, 30, 33, 49, 4, 1, 2
2024/4/17, 64, 32, 41, 7, 1, 2
2024/4/18, 58, 45, 42, 3, 1, 1
2024/4/19, 76, 30, 70, 7, 1, 2
2024/4/20, 62, 20, 39, 4, 1, 1
2024/4/21, 47, 8, 51, 5, 1, 2
2024/4/22, 27, 13, 38, 7, 1, 2
2024/4/23, 40, 4, 34, 4, , 1
2024/4/24, 15, 6, 48, 4, 1, 1
2024/4/25, 20, 12, 54, 6, 1, 2
2024/4/26, 37, 13, 41, 7, 1, 2
2024/4/27, 38, 15, 44, 3, 1, 2
2024/4/28, 42, 9, 41, 1, 1, 1
2024/4/29, 27, 13, 41, 4, 1, 1
2024/4/30, 34, 8, 35, 3, 1, 1
2024/5/1, 27, 8, 40, 3, 1, 1
2024/5/2, 21, 9, 47, 1, 1, 1
2024/5/3, 25, 12, 55, 1, 1, 2
2024/5/4, 38, 10, 41, 1, 1, 1
2024/5/5, 29, 12, 36, 2, 1, 
2024/5/6, 26, 13, 36, 3, 1, 1
2024/5/7, 25, 7, 36, 2, 1, 1
2024/5/8, 21, 6, 39, 3, 1, 1
2024/5/9, 17, 8, 44, 4, 1, 1
2024/5/10, 21, 9, 44, 2, 1, 1
2024/5/11, 24, 8, 36, 2, , 
2024/5/12, 17, 7, 32, 4, , 1
2024/5/13, 14, 11, 47, 6, 1, 
2024/5/14, 33, 10, 43, 4, 1, 1
2024/5/15, 29, 5, 45, 3, 1, 1
2024/5/16, 12, 11, 72, 6, 1, 2
2024/5/17, 35, 15, 81, 5, 1, 2
2024/5/18, 50, 15, 48, 3, 1, 1
2024/5/19, 47, 7, 47, 4, 1, 1
2024/5/20, 21, 14, 49, 4, 1, 1
2024/5/21, 46, 12, 39, 6, 1, 1
2024/5/22, 37, 12, 38, 3, 1, 1
2024/5/23, 35, 18, 62, 5, 1, 2
2024/5/24, 54, 10, 54, 2, 1, 1
2024/5/25, 34, 10, 39, 1, 1, 
2024/5/26, 32, 10, 28, 6, , 2
2024/5/27, 23, 9, 36, 2, 1, 1
2024/5/28, 14, 5, 40, 3, 1, 1
2024/5/29, 13, 10, 43, 4, 1, 1
2024/5/30, 28, 7, 40, 5, 1, 1
2024/5/31, 23, 8, 48, 2, 1, 1
2024/6/1, 25, 10, 43, 1, 1, 1
2024/6/2, 31, 10, 51, 3, 1, 1
2024/6/3, 30, 10, 57, 3, 1, 1
2024/6/4, 32, 10, 59, 4, 1, 1
2024/6/5, 34, 11, 45, 4, 1, 1
2024/6/6, 36, 9, 40, 4, 1, 1
